User ID,Gender,Age,EstimatedSalary,Purchased
15640729,Male,19,100000,1
15640983,Female,52,21000,1
15641989,Female,35,127000,0
15642139,Male,23,49000,0
15643312,Female,56,77000,1
15643452,Female,49,124000,1
15644062,Male,32,15000,0
15644068,Female,35,115000,1
15644458,Male,40,95000,1
15645507,Female,34,123000,1
15645612,Male,23,16000,0
15646152,Male,57,79000,1
15646346,Female,38,127000,1
15646473,Female,20,92000,0
15646639,Male,40,129000,1
15647000,Female,22,143000,1
15647564,Male,51,61000,1
15647629,Male,57,122000,1
15648320,Male,50,132000,1
15649129,Female,42,41000,0
15651479,Male,28,60000,0
15651838,Male,34,78000,0
15652558,Female,59,148000,1
15652734,Male,50,116000,1
15653351,Male,37,37000,0
15655151,Male,36,116000,1
15655443,Male,36,74000,0
15655693,Female,18,97000,1
15656140,Male,30,91000,1
15656399,Male,39,81000,0
15656812,Male,34,17000,0
15658453,Female,45,117000,1
15660457,Male,36,132000,1
15661392,Male,33,99000,1
15665281,Male,60,30000,1
15665568,Female,46,138000,1
15665777,Female,37,47000,0
15665843,Male,28,48000,0
15665924,Male,43,91000,1
15665999,Female,18,140000,1
15666365,Female,42,49000,0
15668006,Female,50,20000,1
15668275,Male,57,69000,1
15668889,Female,32,27000,0
15669725,Male,55,72000,1
15669852,Male,57,129000,1
15671115,Male,32,32000,0
15671362,Male,45,146000,1
15671661,Male,20,105000,1
15671666,Male,35,79000,1
15672002,Male,19,120000,1
15673020,Male,20,117000,1
15673062,Female,48,124000,1
15673218,Male,27,48000,0
15675978,Female,41,72000,0
15676960,Male,22,115000,1
15677350,Male,54,114000,0
15677683,Male,48,85000,1
15677741,Male,34,81000,0
15677775,Female,23,22000,0
15677959,Female,57,90000,1
15682478,Male,19,113000,1
15682833,Male,44,35000,0
15683852,Female,50,26000,1
15684228,Female,31,85000,1
15684747,Female,29,115000,1
15684849,Male,57,94000,1
15685388,Female,29,94000,1
15685512,Male,51,149000,1
15685634,Male,55,116000,1
15686727,Male,42,102000,1
15686783,Female,44,75000,1
15686888,Male,38,25000,0
15686959,Female,50,39000,1
15687392,Female,56,118000,1
15687408,Male,46,76000,0
15688528,Female,36,109000,1
15689436,Female,19,62000,0
15689960,Male,28,134000,1
15690380,Male,28,26000,0
15690776,Male,58,79000,1
15690869,Male,20,95000,1
15691662,Female,49,107000,1
15692826,Female,57,41000,1
15693329,Female,49,93000,1
15693849,Male,33,128000,1
15694031,Male,24,16000,0
15694225,Male,38,67000,0
15694597,Male,40,48000,0
15694840,Male,26,36000,0
15694920,Male,35,92000,1
15695584,Female,49,115000,1
15695643,Male,25,63000,0
15696849,Female,60,60000,1
15698408,Male,27,51000,0
15698853,Male,45,47000,0
15699810,Female,55,36000,1
15701554,Male,49,126000,1
15701942,Male,26,73000,0
15702013,Male,56,83000,1
15702104,Female,18,127000,1
15702846,Male,49,78000,1
15703198,Female,41,97000,1
15703765,Male,50,56000,1
15703808,Male,25,68000,0
15707669,Male,18,101000,1
15708407,Male,48,69000,1
15708992,Female,45,132000,1
15709913,Male,53,20000,1
15710510,Male,38,73000,0
15710524,Male,18,64000,0
15711360,Female,58,91000,1
15711521,Female,20,116000,1
15711784,Female,24,22000,0
15712531,Male,52,92000,1
15712685,Male,31,137000,1
15713020,Female,46,57000,0
15713918,Female,22,83000,1
15713976,Male,38,133000,1
15714029,Female,35,67000,0
15714194,Male,57,135000,1
15715517,Female,40,41000,0
15715809,Female,36,142000,1
15715814,Female,49,126000,1
15715839,Male,41,144000,1
15717252,Female,32,142000,1
15717397,Female,34,118000,1
15717723,Male,35,82000,0
15718285,Male,25,32000,0
15720828,Female,25,140000,1
15721796,Male,53,115000,1
15723686,Female,18,113000,1
15724785,Male,39,25000,0
15725014,Female,47,119000,1
15725046,Female,48,117000,1
15725569,Male,27,86000,0
15726723,Male,27,17000,0
15727806,Female,19,132000,1
15728861,Male,38,103000,1
15729000,Male,34,149000,1
15730142,Female,33,102000,1
15730762,Male,60,48000,1
15730878,Male,44,59000,0
15730895,Male,53,93000,1
15731088,Female,20,84000,0
15735981,Female,37,98000,1
15737101,Female,23,77000,0
15737400,Male,31,141000,1
15738187,Female,20,105000,1
15738726,Male,50,77000,1
15738825,Male,58,24000,1
15738981,Male,56,89000,1
15739906,Female,49,110000,1
15740449,Male,29,43000,0
15740556,Male,40,137000,1
15740691,Female,18,119000,1
15741209,Male,39,50000,0
15742348,Female,19,27000,0
15742607,Male,32,113000,1
15742622,Male,36,145000,1
15743471,Male,53,143000,1
15743721,Male,28,55000,0
15744886,Female,52,104000,1
15745066,Male,24,85000,0
15745068,Female,28,47000,0
15746155,Male,44,30000,0
15747182,Female,32,24000,0
15747203,Male,25,67000,0
15747914,Female,47,34000,0
15750001,Male,48,134000,1
15750850,Male,60,82000,1
15750856,Female,42,27000,0
15751285,Female,26,78000,0
15752382,Male,43,19000,0
15752750,Male,49,61000,1
15753010,Female,59,72000,1
15753547,Female,60,43000,1
15754153,Female,42,29000,0
15754396,Female,32,107000,1
15754479,Female,53,137000,1
15754642,Male,33,60000,0
15754826,Female,28,35000,0
15754840,Male,51,107000,1
15754961,Female,28,130000,1
15755343,Male,60,32000,1
15756325,Male,45,146000,1
15757296,Male,47,66000,0
15758825,Female,49,75000,1
15758838,Male,26,121000,1
15760808,Female,26,115000,1
15761057,Female,41,110000,1
15761580,Male,54,32000,1
15762795,Male,34,106000,1
15763466,Female,23,68000,0
15764452,Male,49,48000,0
15764736,Female,60,120000,1
15764955,Female,30,141000,1
15765781,Female,37,122000,1
15766055,Female,21,135000,1
15767438,Male,30,90000,1
15768651,Male,56,104000,1
15768797,Male,30,24000,0
15770981,Female,52,15000,1
15771252,Female,23,45000,0
15771536,Female,34,139000,1
15772431,Female,53,51000,1
15773119,Female,22,127000,1
15773174,Male,44,96000,1
15773644,Male,35,50000,0
15774821,Male,58,79000,1
15775435,Male,39,17000,0
15776692,Female,22,108000,1
15777036,Male,36,45000,0
15777725,Female,51,55000,1
15777814,Female,21,86000,0
15778386,Male,32,133000,1
15780639,Female,21,118000,1
15781829,Male,24,122000,1
15784108,Female,40,107000,1
15784820,Male,47,94000,1
15785020,Male,25,94000,0
15785201,Female,19,78000,0
15785432,Male,31,125000,1
15785725,Male,37,66000,0
15785809,Male,56,96000,1
15786566,Female,22,80000,0
15786647,Female,34,136000,0
15786861,Female,54,51000,1
15788049,Male,29,105000,1
15789034,Female,37,106000,1
15789738,Male,26,89000,0
15789827,Female,52,85000,1
15789919,Female,33,23000,0
15790151,Female,58,52000,1
15791424,Female,44,74000,0
15792278,Male,21,28000,0
15792438,Female,43,59000,0
15792796,Male,46,110000,1
15792842,Female,20,101000,1
15793429,Male,51,19000,1
15793654,Female,59,86000,1
15794225,Female,48,55000,1
15794514,Male,40,55000,1
15794567,Female,43,131000,1
15795522,Male,59,146000,1
15795892,Male,40,106000,1
15796062,Male,25,20000,0
15796852,Male,42,47000,0
15796909,Male,49,27000,1
15797038,Female,28,145000,1
15797241,Male,33,143000,1
15800783,Female,49,58000,1
15800920,Male,43,134000,1
15801764,Male,40,68000,0
15802183,Female,54,21000,1
15802464,Male,40,149000,1
15802690,Male,49,40000,1
15802848,Female,48,42000,1
15803055,Male,22,83000,0
15804363,Male,23,88000,0
15806407,Male,46,130000,1
15807245,Female,54,113000,1
15807452,Female,33,82000,0
15807667,Female,34,148000,1
15808289,Male,39,81000,0
15809341,Female,20,84000,0
15810203,Male,39,132000,1
15810280,Male,47,29000,0
15810522,Female,22,76000,0
15810876,Male,39,128000,1
15812410,Female,25,65000,0
15812706,Male,38,31000,0
