Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,DTIRatio,HasMortgage,HasDependents,Default
64,26957.0,2330.0,760.0,175,3,13.51,8.64,1,0,0
44,47793.0,10184.0,559.0,132,8,8.29,21.31,1,1,0
35,63995.0,25318.0,620.0,47,1,20.49,39.56,0,0,1
52,64587.0,12536.0,677.0,223,11,16.91,19.41,0,0,0
52,35420.0,21201.0,720.0,2,9,13.15,59.86,0,0,0
44,71731.0,16610.0,620.0,115,11,11.91,23.16,1,0,0
61,23268.0,29736.0,497.0,174,3,13.79,100.0,0,0,1
32,75594.0,7209.0,638.0,189,4,15.07,9.54,0,1,0
59,31252.0,23553.0,758.0,98,1,4.87,75.36,1,0,0
22,50928.0,27247.0,673.0,115,9,21.45,53.5,1,1,1
23,74162.0,7899.0,669.0,13,0,9.84,10.65,1,0,0
57,57153.0,20480.0,565.0,190,6,12.99,35.83,0,0,0
37,69701.0,8242.0,557.0,111,9,13.14,11.82,0,0,0
22,66136.0,15211.0,651.0,60,0,20.99,23.0,0,1,0
22,78153.0,13204.0,536.0,158,10,12.65,16.9,0,0,0
48,74120.0,1000.0,713.0,94,10,19.35,1.35,1,1,0
43,46833.0,17970.0,582.0,16,7,14.63,38.37,0,0,0
57,66393.0,16003.0,648.0,123,2,9.15,24.1,0,0,0
52,27522.0,25354.0,499.0,23,9,13.54,92.12,0,0,1
53,53958.0,19278.0,618.0,115,5,12.53,35.73,0,0,0
21,69733.0,31036.0,555.0,150,6,8.66,44.51,1,0,1
39,57409.0,15749.0,464.0,81,9,14.43,27.43,0,0,1
22,63040.0,14261.0,693.0,49,0,13.09,22.62,0,1,0
64,51161.0,13710.0,781.0,205,5,15.23,26.8,0,0,0
46,75323.0,11923.0,740.0,78,6,13.77,15.83,0,1,0
52,53553.0,1000.0,705.0,78,5,10.4,1.87,0,0,0
26,46622.0,13459.0,617.0,69,3,16.07,28.87,1,1,1
52,70957.0,1000.0,714.0,26,0,10.5,1.41,1,1,0
24,29707.0,18164.0,748.0,14,10,3.0,61.14,1,0,0
31,64019.0,6320.0,661.0,49,8,13.51,9.87,1,0,0
37,36235.0,8740.0,555.0,35,3,10.78,24.12,1,1,1
58,78003.0,10314.0,610.0,7,6,14.53,13.22,1,1,1
44,50302.0,13565.0,786.0,78,6,21.0,26.97,0,0,0
25,57430.0,15048.0,644.0,130,1,21.11,26.2,0,0,0
54,62426.0,22591.0,384.0,189,0,12.34,36.19,0,1,1
26,20266.0,10957.0,532.0,46,7,9.69,54.07,1,0,1
42,43289.0,18361.0,616.0,204,7,15.34,42.41,1,1,1
31,73784.0,34116.0,733.0,104,6,11.52,46.24,1,0,0
36,70620.0,17641.0,628.0,97,7,14.57,24.98,0,0,0
53,60095.0,13737.0,734.0,215,2,10.36,22.86,1,1,0
29,30710.0,9546.0,608.0,231,10,14.0,31.08,0,1,0
26,65539.0,13640.0,493.0,95,1,9.75,20.81,0,0,1
36,67841.0,8796.0,611.0,188,6,17.74,12.97,0,0,0
49,55846.0,16881.0,678.0,159,7,10.64,30.23,0,1,0
23,77017.0,15725.0,671.0,221,0,15.64,20.42,0,1,0
40,42698.0,1000.0,550.0,115,11,7.94,2.34,0,0,0
56,45823.0,14870.0,622.0,12,9,16.12,32.45,0,1,1
39,15000.0,22533.0,850.0,0,8,9.13,100.0,1,1,0
46,71557.0,12206.0,551.0,33,10,14.04,17.06,1,1,1
23,60650.0,10430.0,703.0,189,3,17.09,17.2,1,1,0
39,24727.0,5356.0,482.0,78,11,12.2,21.66,0,0,1
40,23345.0,1994.0,719.0,235,3,8.88,8.54,1,1,0
52,39293.0,20819.0,579.0,77,2,14.99,52.98,1,1,1
27,69286.0,13730.0,682.0,120,5,9.64,19.82,0,0,0
61,49594.0,20404.0,547.0,92,0,11.38,41.14,0,0,1
53,40514.0,25719.0,673.0,97,5,14.06,63.48,0,0,1
60,36890.0,21449.0,577.0,81,1,18.44,58.14,0,1,1
59,36084.0,11203.0,593.0,198,8,13.11,31.05,1,0,1
38,20194.0,16014.0,685.0,220,1,13.09,79.3,1,1,0
60,33267.0,10697.0,616.0,158,6,15.95,32.15,0,1,0
21,35730.0,10042.0,680.0,191,11,13.2,28.11,1,1,0
31,67287.0,17400.0,635.0,152,0,15.54,25.86,1,1,1
48,52017.0,9174.0,655.0,37,11,17.31,17.64,1,1,0
45,40139.0,1000.0,686.0,13,6,11.69,2.49,0,0,0
43,96575.0,8783.0,622.0,135,4,3.0,9.09,1,1,0
51,43050.0,12852.0,570.0,90,7,9.73,29.85,0,0,1
50,76008.0,25650.0,607.0,53,3,17.83,33.75,1,1,1
62,84180.0,11563.0,746.0,129,11,12.86,13.74,0,0,0
55,26741.0,18583.0,659.0,208,9,11.64,69.49,0,1,0
27,56331.0,13822.0,582.0,100,6,17.67,24.54,1,1,1
36,45684.0,23585.0,682.0,205,5,12.59,51.63,0,1,0
46,44219.0,23100.0,687.0,88,4,4.63,52.24,0,0,0
22,64997.0,23233.0,692.0,55,3,6.98,35.74,0,0,0
21,43788.0,2862.0,572.0,93,6,14.67,6.54,1,1,1
32,46073.0,16447.0,595.0,92,11,12.73,35.7,0,0,1
25,51974.0,20313.0,596.0,83,4,18.82,39.08,1,1,0
57,48279.0,17671.0,621.0,84,4,10.07,36.6,0,0,1
52,33876.0,19456.0,693.0,188,0,11.76,57.43,0,1,0
29,69326.0,15408.0,674.0,21,1,9.46,22.23,0,0,0
61,73874.0,9787.0,680.0,34,4,10.92,13.25,0,1,0
55,61185.0,3120.0,758.0,228,2,5.43,5.1,0,1,0
39,48222.0,10481.0,705.0,15,1,11.46,21.73,0,0,0
36,42306.0,33747.0,639.0,49,3,12.79,79.77,1,0,1
23,42335.0,11600.0,555.0,121,3,12.45,27.4,1,0,0
40,97433.0,1284.0,593.0,127,3,21.6,1.32,0,1,0
44,71881.0,20129.0,629.0,112,3,20.33,28.0,0,1,0
53,39878.0,20988.0,716.0,170,2,10.0,52.63,1,1,0
44,57965.0,24011.0,648.0,16,11,4.82,41.42,0,1,0
31,48474.0,18297.0,598.0,79,6,12.6,37.75,0,0,0
28,65508.0,20919.0,591.0,185,8,14.51,31.93,1,0,1
56,64783.0,27882.0,644.0,129,11,9.56,43.04,1,0,1
58,74505.0,9782.0,721.0,131,4,9.76,13.13,1,0,0
60,39690.0,8393.0,777.0,84,3,19.33,21.15,0,1,0
40,56885.0,7338.0,634.0,166,10,11.97,12.9,0,1,0
55,23526.0,13140.0,646.0,225,1,15.65,55.85,1,0,1
45,32368.0,25034.0,553.0,93,1,9.28,77.34,0,1,1
55,70914.0,18696.0,805.0,133,4,12.77,26.36,0,1,0
45,37888.0,18421.0,538.0,80,6,11.65,48.62,0,0,1
49,39864.0,2265.0,744.0,230,9,10.3,5.68,0,0,0
38,54851.0,10148.0,621.0,216,9,17.62,18.5,1,0,0
38,67506.0,2150.0,602.0,68,8,7.44,3.18,1,1,0
22,35905.0,23199.0,561.0,68,6,14.2,64.61,1,1,1
55,15000.0,26100.0,843.0,147,4,11.58,100.0,0,1,0
36,39336.0,20457.0,668.0,191,9,14.66,52.01,0,0,1
61,76701.0,8092.0,652.0,15,9,11.63,10.55,0,0,0
56,61176.0,25374.0,721.0,50,9,16.47,41.48,0,1,1
53,78830.0,13227.0,598.0,104,5,9.24,16.78,1,1,1
24,34627.0,6499.0,650.0,164,10,17.63,18.77,0,1,0
53,25491.0,8249.0,655.0,231,11,12.88,32.36,0,1,0
34,63326.0,11989.0,609.0,200,2,7.69,18.93,0,0,0
41,59320.0,15347.0,746.0,196,4,15.72,25.87,1,1,1
40,60500.0,13871.0,633.0,169,7,12.2,22.93,0,1,0
28,71794.0,5111.0,526.0,184,0,6.17,7.12,0,0,0
27,62590.0,23493.0,626.0,65,11,14.33,37.53,0,1,1
23,62301.0,13946.0,670.0,8,0,17.03,22.38,1,0,0
37,67870.0,10004.0,579.0,106,6,18.13,14.74,0,0,0
53,64043.0,22772.0,585.0,99,4,11.49,35.56,1,0,0
32,70434.0,6716.0,606.0,85,4,13.58,9.54,1,0,0
42,73153.0,3598.0,748.0,63,0,13.2,4.92,0,0,0
42,82570.0,23907.0,611.0,213,8,18.96,28.95,1,0,0
50,43315.0,28240.0,764.0,21,0,9.76,65.2,0,1,0
58,63650.0,11765.0,601.0,161,4,11.14,18.48,1,0,0
58,48334.0,14678.0,676.0,182,9,9.66,30.37,0,0,0
28,39996.0,6973.0,614.0,156,8,7.2,17.43,0,0,0
47,42588.0,15038.0,710.0,165,3,13.99,35.31,0,1,0
47,63909.0,11670.0,561.0,109,7,19.41,18.26,0,0,0
54,62529.0,14285.0,709.0,96,5,12.21,22.85,1,0,0
41,62207.0,17865.0,659.0,17,10,9.47,28.72,0,1,0
50,50937.0,7313.0,599.0,70,2,13.75,14.36,1,1,0
53,55061.0,12467.0,637.0,192,3,15.36,22.64,0,1,0
48,69720.0,2374.0,773.0,126,1,12.37,3.41,1,0,0
53,28191.0,12515.0,661.0,96,0,18.61,44.39,0,0,0
25,55444.0,14346.0,594.0,0,7,9.75,25.87,0,1,0
39,56619.0,16603.0,554.0,215,0,11.85,29.32,0,0,0
24,68559.0,16677.0,690.0,131,10,14.18,24.33,1,0,0
55,30696.0,21327.0,666.0,3,0,14.57,69.48,0,0,1
37,81912.0,4222.0,706.0,124,3,13.19,5.15,0,1,0
64,58845.0,4596.0,533.0,81,9,7.89,7.81,0,0,0
48,59798.0,18703.0,556.0,26,11,22.35,31.28,1,1,1
50,47775.0,1000.0,742.0,170,9,12.06,2.09,0,1,0
49,64684.0,16283.0,677.0,58,5,13.44,25.17,1,0,0
26,55863.0,6738.0,693.0,31,8,15.47,12.06,0,1,0
55,76762.0,26010.0,573.0,160,0,10.45,33.88,1,1,1
61,29053.0,16753.0,572.0,27,6,13.23,57.66,1,1,1
57,58160.0,13466.0,729.0,105,9,10.29,23.15,0,0,0
44,62353.0,23594.0,733.0,104,10,14.66,37.84,0,1,0
49,51645.0,7556.0,563.0,182,4,11.9,14.63,0,0,1
51,47716.0,8886.0,548.0,227,11,14.07,18.62,0,1,0
55,48467.0,6170.0,641.0,187,7,8.81,12.73,0,0,0
53,58144.0,8945.0,586.0,69,6,9.68,15.38,1,0,0
41,22421.0,15428.0,584.0,61,3,7.54,68.81,0,1,1
52,72370.0,18458.0,550.0,207,3,10.16,25.51,1,1,1
43,46358.0,21730.0,613.0,33,5,3.0,46.87,0,1,0
53,57300.0,2227.0,558.0,86,5,11.77,3.89,1,0,0
23,61608.0,13797.0,562.0,113,8,10.86,22.39,0,0,0
38,45536.0,7243.0,674.0,105,11,13.6,15.91,0,1,0
45,52641.0,13563.0,646.0,215,4,13.18,25.77,0,1,0
62,18366.0,31339.0,689.0,55,7,18.03,100.0,0,1,1
51,68178.0,17043.0,518.0,112,4,23.38,25.0,0,0,1
23,74441.0,21296.0,651.0,12,1,17.55,28.61,1,0,0
60,24382.0,28725.0,816.0,183,5,11.19,100.0,1,1,0
44,47683.0,22892.0,620.0,17,8,11.03,48.01,0,1,1
52,32862.0,11865.0,716.0,181,2,16.47,36.11,0,0,0
42,51801.0,6069.0,715.0,204,0,6.27,11.72,0,1,0
43,66675.0,14789.0,719.0,112,0,11.74,22.18,0,1,0
22,72772.0,11026.0,663.0,228,2,12.05,15.15,0,0,0
47,75193.0,4328.0,695.0,170,9,15.34,5.76,1,0,0
62,78590.0,16686.0,706.0,38,4,15.46,21.23,1,0,0
22,50997.0,16861.0,701.0,188,2,10.02,33.06,1,1,0
46,34355.0,27384.0,561.0,169,8,11.34,79.71,0,0,1
37,52937.0,12468.0,513.0,208,7,14.78,23.55,1,0,0
60,66399.0,16961.0,526.0,78,2,9.8,25.54,1,1,1
53,32909.0,10342.0,628.0,145,8,17.82,31.43,0,0,1
29,84882.0,21112.0,698.0,150,5,15.44,24.87,0,0,0
63,71162.0,14128.0,562.0,181,6,13.69,19.85,1,0,0
59,51282.0,6792.0,724.0,29,3,14.56,13.24,0,1,0
49,42204.0,14906.0,610.0,97,3,11.13,35.32,0,1,1
62,42956.0,17734.0,611.0,57,11,10.49,41.28,0,0,1
46,56336.0,16787.0,583.0,195,1,11.3,29.8,1,1,0
55,50871.0,22321.0,499.0,66,4,15.0,43.88,0,1,1
45,72109.0,4864.0,668.0,70,7,13.8,6.75,1,0,0
44,48826.0,9101.0,787.0,145,6,11.31,18.64,1,0,0
33,64099.0,19479.0,645.0,105,6,16.0,30.39,1,0,0
27,54479.0,9923.0,502.0,6,5,12.3,18.21,0,0,1
56,59854.0,16683.0,712.0,39,2,10.23,27.87,1,1,0
40,50859.0,1000.0,520.0,69,4,14.02,1.97,0,1,1
21,67739.0,34012.0,553.0,213,0,8.95,50.21,0,0,1
28,68006.0,13112.0,631.0,192,6,6.25,19.28,0,0,0
36,63279.0,23358.0,660.0,67,8,12.98,36.91,0,0,0
34,65935.0,12642.0,569.0,237,0,10.37,19.17,1,1,0
32,38001.0,17903.0,628.0,48,1,11.98,47.11,0,0,1
43,60818.0,25443.0,707.0,51,2,9.13,41.83,0,1,0
35,77486.0,23161.0,718.0,113,2,17.84,29.89,0,0,0
48,63845.0,13569.0,750.0,106,7,10.35,21.25,1,1,0
54,36447.0,14053.0,803.0,28,6,11.27,38.56,1,1,0
22,54104.0,22025.0,715.0,148,5,14.51,40.71,1,0,0
52,61750.0,31333.0,633.0,217,9,7.49,50.74,0,0,0
43,41367.0,16346.0,719.0,77,9,7.2,39.51,0,1,0
42,30551.0,28699.0,687.0,8,10,14.52,93.94,1,0,1
45,49310.0,13310.0,691.0,174,3,11.22,26.99,0,1,0
42,41665.0,21664.0,664.0,75,8,9.39,52.0,0,0,0
42,54743.0,22708.0,577.0,41,0,15.41,41.48,1,1,1
62,26355.0,12130.0,568.0,178,10,9.75,46.03,0,0,1
26,65165.0,9770.0,642.0,183,1,11.9,14.99,1,1,0
35,43577.0,23018.0,662.0,178,3,9.42,52.82,0,1,0
63,72924.0,11279.0,596.0,197,2,14.21,15.47,0,1,0
57,50016.0,8740.0,684.0,127,0,18.33,17.47,0,1,0
53,54543.0,10212.0,816.0,19,4,5.56,18.72,0,1,0
28,51885.0,11251.0,510.0,215,6,13.45,21.68,1,0,1
64,42613.0,20996.0,697.0,154,1,16.43,49.27,1,1,0
64,99501.0,18605.0,645.0,165,4,11.31,18.7,0,1,0
25,46074.0,20010.0,686.0,71,5,8.48,43.43,0,0,0
59,73423.0,17950.0,616.0,64,10,14.68,24.45,1,1,1
24,35315.0,10843.0,638.0,181,6,17.01,30.7,1,1,0
26,61698.0,19880.0,660.0,112,0,16.56,32.22,0,1,0
52,63620.0,23277.0,626.0,23,6,14.46,36.59,0,0,1
50,54565.0,19092.0,528.0,127,3,13.39,34.99,0,0,1
55,44722.0,18148.0,631.0,174,7,9.4,40.58,1,0,1
60,50260.0,9631.0,537.0,198,3,16.46,19.16,1,0,0
36,47741.0,16483.0,702.0,82,5,16.24,34.53,0,1,0
33,98236.0,9258.0,501.0,213,8,8.45,9.42,1,0,1
62,54593.0,14832.0,732.0,62,4,14.46,27.17,0,0,0
50,64448.0,3518.0,684.0,184,11,15.61,5.46,0,1,0
39,87069.0,3572.0,685.0,182,3,16.53,4.1,0,0,0
37,39226.0,13663.0,477.0,59,7,12.7,34.83,1,0,1
